"Report Date","Borough","Community Districts","Census Type","Adult Family Commercial Hotel","Adult Family Shelter","Adult Shelter","Adult Shelter Commercial Hotel","Family Cluster","Family with Children Commercial Hotel","Family with Children Shelter"
"04/30/2026","Brooklyn","5","Individuals",,,"1,022","433",,"583","1,052"
"04/30/2026","Brooklyn","6","Individuals",,"109","758","278",,"106","507"
"04/30/2026","Brooklyn","7","Individuals",,,"341","420",,"284","308"
"04/30/2026","Brooklyn","8","Individuals",,,"373","90",,,"590"
"04/30/2026","Brooklyn","9","Individuals",,,"364",,,,"424"
"04/30/2026","Manhattan","1","Individuals","209",,,,,,
"04/30/2026","Manhattan","10","Individuals",,,"800",,,,"557"
"04/30/2026","Manhattan","11","Individuals",,,"1,085",,,,"474"
"04/30/2026","Manhattan","12","Individuals",,,"425",,,,
"04/30/2026","Manhattan","3","Individuals",,,"533","133",,"90","94"
"04/30/2026","Manhattan","4","Individuals","149",,"334","271",,"1,070","378"
"04/30/2026","Manhattan","5","Individuals",,"325","76","37",,"2,584","397"
"04/30/2026","Manhattan","6","Individuals",,,"141",,,"242","599"
"04/30/2026","Manhattan","7","Individuals",,"173","372",,,"927","276"
"04/30/2026","Manhattan","8","Individuals",,,"72",,,"506",
"04/30/2026","Manhattan","9","Individuals",,,"29",,,,"594"
"04/30/2026","Queens","1","Individuals",,,"485","120",,"3,447","835"
"04/30/2026","Queens","10","Individuals",,,"172","165",,"434","193"
"04/30/2026","Queens","11","Individuals",,,"70","68",,,
"04/30/2026","Queens","12","Individuals",,"337","911","668",,"5,622","1,217"
"04/30/2026","Queens","13","Individuals",,"74","480","719",,,"582"
"04/30/2026","Queens","14","Individuals",,"328","201","195",,"199",
"04/30/2026","Queens","2","Individuals",,"293","337","115",,"745","268"
"04/30/2026","Queens","3","Individuals",,"268",,"163",,"1,784","745"
"04/30/2026","Queens","4","Individuals",,,,"237",,,"500"
"04/30/2026","Queens","5","Individuals",,,"200",,,,"185"
"04/30/2026","Queens","6","Individuals",,,"99",,,,"227"
"04/30/2026","Queens","7","Individuals",,,"331",,,"74","75"
"04/30/2026","Queens","8","Individuals",,,"174",,,"147","287"
"04/30/2026","Staten Island","1","Individuals",,,"100","96",,"36","481"
"04/30/2026","Staten Island","2","Individuals",,,"43",,,,"207"
"03/31/2026","Manhattan","1","Individuals","78",,,,,,
"03/31/2026","Staten Island","2","Individuals",,,"47",,,,"192"
"03/31/2026","Staten Island","1","Individuals",,,"96","105",,"44","467"
"03/31/2026","Queens","14","Individuals",,"311","202","192",,"233",
"03/31/2026","Queens","13","Individuals",,"74","466","774",,,"608"
"03/31/2026","Queens","12","Individuals",,"542","880","665",,"5,873","1,213"
"03/31/2026","Queens","11","Individuals",,,"73","55",,,
"03/31/2026","Queens","10","Individuals",,,"167","168",,"450","191"
"03/31/2026","Queens","9","Individuals",,,"110",,,,
"03/31/2026","Queens","8","Individuals",,,"175",,,"155","295"
"03/31/2026","Queens","7","Individuals",,,"332",,,"78","21"
"03/31/2026","Queens","6","Individuals",,,"99",,,,"236"
"03/31/2026","Queens","5","Individuals",,,"199",,,,"214"
"03/31/2026","Queens","4","Individuals",,,,"244",,,"522"
"03/31/2026","Queens","3","Individuals",,"254",,"163",,"1,750","782"
"03/31/2026","Queens","2","Individuals",,"294","341","130",,"786","282"
"03/31/2026","Queens","1","Individuals",,,"334","117",,"3,717","715"
"03/31/2026","Manhattan","12","Individuals",,,"417",,,,
"03/31/2026","Manhattan","11","Individuals",,,"1,067",,,,"491"
"03/31/2026","Manhattan","10","Individuals",,,"797",,,,"563"
"03/31/2026","Manhattan","9","Individuals",,,"30",,,,"567"
"03/31/2026","Manhattan","8","Individuals",,,"72",,,"501",
"03/31/2026","Manhattan","7","Individuals",,"172","375",,,"933","301"
"03/31/2026","Manhattan","6","Individuals",,,"134",,,"255","609"
"03/31/2026","Manhattan","5","Individuals",,"327","80","40",,"2,633","378"
"03/31/2026","Manhattan","4","Individuals","152",,"332","304",,"1,082","377"
"03/31/2026","Manhattan","3","Individuals",,,"539","139",,"90","108"
"03/31/2026","Brooklyn","18","Individuals",,"370",,,,"317","796"
"03/31/2026","Brooklyn","17","Individuals",,,"74","109",,,"1,603"
"03/31/2026","Brooklyn","16","Individuals",,,"886","542",,"313","2,213"
"03/31/2026","Brooklyn","15","Individuals",,,,"114",,"271","140"
"03/31/2026","Brooklyn","14","Individuals",,,"504",,,,"69"
"03/31/2026","Brooklyn","13","Individuals",,,,"75",,,"372"
"03/31/2026","Brooklyn","12","Individuals",,,"122",,,,"114"
"03/31/2026","Brooklyn","9","Individuals",,,"359",,,,"417"
"03/31/2026","Brooklyn","8","Individuals",,,"440","89",,,"549"
"03/31/2026","Brooklyn","7","Individuals",,,"345","415",,"297","332"
"03/31/2026","Brooklyn","6","Individuals",,"108","880","280",,"116","491"
"03/31/2026","Brooklyn","5","Individuals",,,"887","435",,"682","1,034"
"03/31/2026","Brooklyn","4","Individuals",,,"192","135",,"30","789"
"03/31/2026","Brooklyn","3","Individuals",,,"828","360",,"470","420"
"03/31/2026","Brooklyn","2","Individuals",,"50","755",,,,"326"
"03/31/2026","Brooklyn","1","Individuals",,"168","1,291",,,"386",
"03/31/2026","Bronx","12","Individuals",,,"576",,,"268","1,056"
"03/31/2026","Bronx","11","Individuals",,,"196",,,,
"03/31/2026","Bronx","10","Individuals",,,,,,,"521"
"03/31/2026","Bronx","9","Individuals",,,"263",,,"257","1,518"
"03/31/2026","Bronx","8","Individuals",,,,,,,"590"
"03/31/2026","Bronx","7","Individuals",,,"774",,,"188","897"
"03/31/2026","Bronx","6","Individuals",,,"99","84",,"1,099","1,763"
"03/31/2026","Bronx","5","Individuals",,"204","682",,,"152","1,103"
"03/31/2026","Bronx","4","Individuals",,,"431",,,"283","2,011"
"03/31/2026","Bronx","3","Individuals",,,"777","125",,,"1,174"
